Wall time,Step,Value
1553678594.9790163,1000,-10.283502578735352
1553678658.8247766,2000,-10.339944839477539
1553678722.8994153,3000,-10.363687515258789
1553678786.7720249,4000,-10.222240447998047
1553678856.6919694,5000,-10.297274589538574
1553678926.9370704,6000,-10.255927085876465
1553678996.3274572,7000,-10.201359748840332
1553679077.6068878,8000,-10.033777236938477
1553679167.964447,9000,-10.318719863891602
1553679256.3649824,10000,-10.324065208435059
1553679343.8139977,11000,-10.537714958190918
1553679427.5909026,12000,-9.817134857177734
1553679515.7220392,13000,-10.326257705688477
1553679604.7172194,14000,-10.19078254699707
1553679693.846805,15000,-10.36913776397705
1553679781.3098543,16000,-10.507644653320312
1553679865.4328327,17000,-9.88410472869873
1553679949.2865317,18000,-10.482014656066895
1553680036.1611493,19000,-9.918342590332031
1553680122.9380295,20000,-9.966272354125977
1553680211.4292917,21000,-10.364407539367676
1553680293.0310147,22000,-9.851597785949707
1553680377.3873694,23000,-10.256882667541504
1553680461.4864125,24000,-9.8561372756958
1553680546.826136,25000,-10.205024719238281
1553680630.2709293,26000,-9.81803035736084
1553680715.4138594,27000,-9.738980293273926
1553680800.8389704,28000,-9.58183479309082
1553680890.0105543,29000,-9.903434753417969
1553680979.4752438,30000,-10.33007526397705
1553681066.8245924,31000,-9.842055320739746
1553681158.0625389,32000,-10.59469985961914
1553681246.6954548,33000,-10.302132606506348
1553681332.5158927,34000,-9.724482536315918
1553681421.058261,35000,-9.74551773071289
1553681505.9451969,36000,-9.864157676696777
1553681588.5833693,37000,-10.045347213745117
1553681672.429089,38000,-9.781464576721191
1553681757.130329,39000,-9.293832778930664
1553681844.287053,40000,-10.246862411499023
1553681930.132611,41000,-9.768007278442383
1553682014.7616882,42000,-9.917140007019043
1553682100.1516209,43000,-9.746515274047852
1553682184.0479834,44000,-9.967570304870605
1553682270.219715,45000,-10.136375427246094
1553682357.9180465,46000,-9.911194801330566
1553682439.8264725,47000,-9.425492286682129
1553682526.7731302,48000,-9.459102630615234
1553682612.8169792,49000,-9.88903522491455
1553682699.0097668,50000,-9.79505729675293
1553682786.2579613,51000,-9.70386028289795
1553682872.2567456,52000,-10.06893253326416
1553682955.9386988,53000,-9.649314880371094
1553683039.9740195,54000,-9.510332107543945
1553683123.4966068,55000,-9.712080001831055
1553683209.0381901,56000,-9.55465030670166
1553683294.171856,57000,-9.793072700500488
1553683384.0569928,58000,-9.828597068786621
1553683467.623843,59000,-10.062257766723633
1553683554.5702207,60000,-9.851587295532227
1553683640.375103,61000,-9.84434986114502
1553683725.0335667,62000,-9.70993709564209
1553683812.4387014,63000,-9.523547172546387
1553683900.3864937,64000,-9.960892677307129
1553683986.7094526,65000,-9.415934562683105
1553684073.027299,66000,-9.558382034301758
1553684160.0465484,67000,-9.757169723510742
1553684243.4264102,68000,-8.979507446289062
1553684331.8977895,69000,-9.934152603149414
1553684415.3749092,70000,-8.948399543762207
1553684500.117952,71000,-9.527409553527832
1553684585.4989972,72000,-9.619009971618652
1553684673.4612093,73000,-9.830597877502441
1553684760.6989353,74000,-9.580222129821777
1553684847.85373,75000,-9.85787296295166
1553684935.5667782,76000,-9.493135452270508
1553685018.9703412,77000,-9.356107711791992
1553685103.465455,78000,-9.306877136230469
1553685194.3872721,79000,-9.621642112731934
1553685283.3188002,80000,-9.02939510345459
1553685370.5516088,81000,-9.722220420837402
1553685459.3963435,82000,-9.34302043914795
1553685546.6938221,83000,-9.423772811889648
1553685632.649611,84000,-9.249085426330566
1553685720.809147,85000,-9.471010208129883
1553685811.7550797,86000,-9.439942359924316
1553685899.002879,87000,-9.370840072631836
1553685986.7787004,88000,-9.380764961242676
1553686076.6437747,89000,-9.844062805175781
1553686162.601024,90000,-8.6366548538208
1553686248.5282445,91000,-9.369197845458984
1553686339.3099825,92000,-9.394780158996582
1553686428.555807,93000,-9.859210014343262
1553686516.1746259,94000,-9.517470359802246
1553686602.0092077,95000,-9.259135246276855
1553686689.5004182,96000,-9.309394836425781
1553686778.9227934,97000,-8.908004760742188
1553686868.1688259,98000,-9.395560264587402
1553686954.0738308,99000,-9.36662769317627
1553687039.189213,100000,-9.306842803955078
1553687124.893698,101000,-8.77330493927002
1553687212.9231226,102000,-9.805025100708008
1553687301.1580865,103000,-9.564094543457031
1553687386.289738,104000,-8.999835014343262
1553687473.8325033,105000,-9.025222778320312
1553687560.7113802,106000,-9.320412635803223
1553687649.8433838,107000,-9.315827369689941
1553687736.9298983,108000,-8.998270034790039
1553687825.5260417,109000,-9.223762512207031
1553687913.1427343,110000,-8.959997177124023
1553688001.6859407,111000,-9.761190414428711
1553688090.6749554,112000,-8.426057815551758
1553688177.710043,113000,-9.320884704589844
1553688265.1234276,114000,-9.183124542236328
1553688353.1905224,115000,-8.99084758758545
1553688439.5273151,116000,-9.036930084228516
1553688525.3843536,117000,-9.01021957397461
1553688615.348454,118000,-8.95118522644043
1553688702.374464,119000,-9.388050079345703
1553688790.5196831,120000,-9.114564895629883
1553688875.4472837,121000,-9.278969764709473
1553688961.1757057,122000,-9.300894737243652
1553689047.3864307,123000,-9.161355018615723
1553689135.5766861,124000,-9.6766996383667
1553689224.5344937,125000,-8.857342720031738
1553689312.687424,126000,-8.97996997833252
1553689399.7831092,127000,-8.912135124206543
1553689489.434084,128000,-9.220732688903809
1553689576.274907,129000,-9.254260063171387
1553689667.2563002,130000,-9.323795318603516
1553689756.8745174,131000,-9.06832504272461
1553689843.954577,132000,-8.564407348632812
1553689933.1383111,133000,-9.306755065917969
1553690021.451791,134000,-8.495820045471191
1553690112.073234,135000,-8.404572486877441
1553690206.9710543,136000,-8.975810050964355
1553690301.1614075,137000,-8.661857604980469
1553690394.293873,138000,-9.024174690246582
1553690487.1687183,139000,-8.824640274047852
1553690580.87162,140000,-8.80697250366211
1553690674.9234264,141000,-8.753344535827637
1553690770.4701161,142000,-8.730537414550781
1553690880.5831316,143000,-8.683349609375
1553690987.597528,144000,-8.748760223388672
1553691099.1493604,145000,-9.1395845413208
1553691205.3453257,146000,-9.009247779846191
1553691309.1150486,147000,-8.689522743225098
1553691425.7463293,148000,-9.055720329284668
1553691541.937908,149000,-9.008077621459961
1553691663.627033,150000,-8.504324913024902
1553691785.574629,151000,-8.53945255279541
1553691905.6132984,152000,-9.066909790039062
1553692024.8228393,153000,-8.51082706451416
1553692146.2512329,154000,-8.368257522583008
1553692261.4998617,155000,-8.823712348937988
1553692357.2342913,156000,-8.764525413513184
1553692473.7197227,157000,-8.385197639465332
1553692589.3246617,158000,-8.308517456054688
1553692710.7051275,159000,-8.379697799682617
1553692834.5569634,160000,-8.643989562988281
1553692957.5303006,161000,-8.504497528076172
1553693079.102205,162000,-8.500017166137695
1553693199.763444,163000,-8.268767356872559
1553693319.145427,164000,-8.44686222076416
1553693442.18601,165000,-8.369812965393066
1553693564.7674737,166000,-8.54086971282959
1553693684.7409637,167000,-9.316542625427246
1553693805.1744761,168000,-8.486432075500488
1553693900.836055,169000,-8.914512634277344
1553693993.6076431,170000,-8.413942337036133
1553694087.2721052,171000,-8.647552490234375
1553694171.3013508,172000,-8.56190013885498
1553694265.2416887,173000,-8.83469009399414
1553694351.823012,174000,-7.903560161590576
1553694439.3401787,175000,-8.440170288085938
1553694527.6688855,176000,-8.324877738952637
1553694615.7599623,177000,-8.920809745788574
1553694703.7906692,178000,-8.857954978942871
1553694791.813379,179000,-8.118097305297852
1553694879.2162533,180000,-8.558342933654785
1553694967.7034957,181000,-8.161930084228516
1553695054.9326658,182000,-8.748367309570312
