Wall time,Step,Value
1553770289.8524084,1000,-8.17549991607666
1553770311.2422242,2000,-8.49120044708252
1553770334.5755057,3000,-8.547499656677246
1553770359.7610307,4000,-8.387999534606934
1553770385.2345617,5000,-8.387299537658691
1553770410.3073633,6000,-8.363699913024902
1553770436.0377488,7000,-8.396900177001953
1553770461.2823966,8000,-8.196399688720703
1553770487.1858022,9000,-8.255800247192383
1553770513.1248825,10000,-8.46090030670166
1553770537.5779247,11000,-8.69279956817627
1553770559.2170787,12000,-8.513099670410156
1553770586.4137752,13000,-8.571900367736816
1553770612.3573284,14000,-8.478500366210938
1553770632.7553024,15000,-8.198399543762207
1553770653.3126814,16000,-8.223999977111816
1553770672.9716628,17000,-8.495100021362305
1553770693.1911535,18000,-8.363900184631348
1553770713.0766687,19000,-8.396400451660156
1553770733.4395263,20000,-8.343400001525879
1553770754.0697124,21000,-8.143600463867188
1553770774.3255835,22000,-8.521200180053711
1553770794.4457612,23000,-8.185400009155273
1553770815.1710954,24000,-8.337599754333496
1553770835.0845075,25000,-8.371999740600586
1553770855.1453552,26000,-7.93310022354126
1553770874.8157508,27000,-7.986700057983398
1553770894.7451713,28000,-8.06820011138916
1553770914.4028316,29000,-7.914100170135498
1553770934.9319181,30000,-8.124500274658203
1553770955.1555383,31000,-8.20580005645752
1553770975.237559,32000,-8.077099800109863
1553770995.4121497,33000,-8.4621000289917
1553771015.1979964,34000,-8.245400428771973
1553771035.413232,35000,-7.828700065612793
1553771055.26935,36000,-8.124899864196777
1553771076.5695431,37000,-8.006099700927734
1553771096.7673523,38000,-8.125900268554688
1553771117.5004776,39000,-8.251500129699707
1553771137.264881,40000,-7.949100017547607
1553771157.9410849,41000,-8.197400093078613
1553771180.1282258,42000,-8.387800216674805
1553771201.2877374,43000,-8.183300018310547
1553771220.7067564,44000,-8.046799659729004
1553771240.71786,45000,-7.8979997634887695
1553771260.217338,46000,-7.995699882507324
1553771280.379835,47000,-7.929299831390381
1553771299.3356402,48000,-8.026900291442871
1553771318.446878,49000,-8.234600067138672
1553771337.467524,50000,-7.900899887084961
1553771356.8998334,51000,-7.984000205993652
1553771377.1182826,52000,-7.746399879455566
1553771396.8361995,53000,-8.29170036315918
1553771417.1335568,54000,-7.750199794769287
1553771436.318879,55000,-8.125200271606445
1553771456.308763,56000,-7.574100017547607
1553771475.4971254,57000,-7.873899936676025
1553771495.3170416,58000,-8.104399681091309
1553771515.0575225,59000,-7.884399890899658
1553771534.9320657,60000,-7.61870002746582
1553771554.680033,61000,-7.733500003814697
1553771574.5875385,62000,-7.897299766540527
1553771594.2485306,63000,-8.09589958190918
