Wall time,Step,Value
1553362674.7798471,1000,-6.557917594909668
1553362848.2952294,2000,-5.909067630767822
1553363017.3613846,3000,-6.224637508392334
1553363205.0783603,4000,-6.0287675857543945
1553363386.2865822,5000,-6.138802528381348
1553363560.1905758,6000,-6.234732627868652
1553363727.5489604,7000,-5.254570007324219
1553363892.2973924,8000,-5.905867576599121
1553364066.8075223,9000,-5.717189788818359
1553364246.922982,10000,-4.957520008087158
1553364413.0555713,11000,-5.784460067749023
1553364583.633635,12000,-6.213452339172363
1553364756.1733193,13000,-6.060587406158447
1553364929.8494747,14000,-5.707817554473877
1553365093.8237922,15000,-6.6023173332214355
1553365262.9023223,16000,-6.413255214691162
1553365421.1087942,17000,-5.485314846038818
1553365590.5963302,18000,-5.611635208129883
1553365750.4180787,19000,-5.718917369842529
1553365873.0305195,20000,-5.946984767913818
1553366050.0329752,21000,-5.781942367553711
1553366209.8955705,22000,-5.758194923400879
1553366371.4302323,23000,-7.368542671203613
1553366540.909183,24000,-6.2146148681640625
1553366710.607284,25000,-5.874107360839844
1553366887.2419653,26000,-5.438352584838867
1553367060.3820555,27000,-5.625494956970215
1553367228.6083415,28000,-5.883605003356934
1553367398.8918557,29000,-5.563425064086914
1553367560.1885576,30000,-5.677209854125977
1553367741.5604444,31000,-5.540102481842041
1553367915.669167,32000,-5.8122148513793945
1553368085.317763,33000,-5.54765510559082
1553368250.0450544,34000,-5.641005039215088
1553368430.0698574,35000,-6.432439804077148
1553368605.2282827,36000,-5.652432441711426
1553368782.9127192,37000,-5.598442554473877
1553368921.411792,38000,-6.060144901275635
1553369018.57144,39000,-5.933700084686279
1553369116.3834639,40000,-5.302682399749756
1553369209.5059235,41000,-5.6608099937438965
1553369305.1282074,42000,-5.885777473449707
1553369395.1560535,43000,-4.666107654571533
1553369489.3574924,44000,-5.116642475128174
1553369580.0914273,45000,-5.302337646484375
1553369673.438232,46000,-5.194469928741455
1553369764.9521472,47000,-4.877072334289551
1553369856.4363153,48000,-5.2918500900268555
1553369954.844214,49000,-5.47863245010376
1553370050.5053465,50000,-5.184724807739258
1553370148.9306822,51000,-5.032989978790283
1553370247.018229,52000,-5.339594841003418
1553370344.5033088,53000,-4.90694522857666
1553370444.4868755,54000,-4.797557353973389
1553370550.0983334,55000,-5.389754772186279
1553370653.6936588,56000,-4.8302226066589355
1553370761.059846,57000,-5.269002437591553
1553370859.3388472,58000,-4.9091949462890625
1553370955.9486773,59000,-4.61964750289917
1553371055.2670898,60000,-5.1323699951171875
1553371158.0778368,61000,-4.695922374725342
1553371258.3562098,62000,-5.165902614593506
1553371358.0775888,63000,-4.921367645263672
1553371461.6675353,64000,-4.790692329406738
1553371557.2399166,65000,-4.470984935760498
1553371655.165327,66000,-5.456987380981445
1553371756.2237313,67000,-5.096662521362305
1553371852.8184927,68000,-4.933810234069824
1553371955.6020021,69000,-4.088622570037842
1553372056.1062155,70000,-4.1198225021362305
1553372160.0648315,71000,-4.528027534484863
1553372264.9373755,72000,-4.194115161895752
1553372372.5943296,73000,-4.398190021514893
1553372477.2637348,74000,-4.386392593383789
1553372579.7551987,75000,-4.824900150299072
1553372685.6682823,76000,-4.667847633361816
1553372788.66053,77000,-3.747999906539917
1553372892.306725,78000,-4.780062675476074
1553372997.0311215,79000,-4.5355401039123535
1553373105.8249848,80000,-4.7671098709106445
1553373207.005994,81000,-4.597052574157715
1553373315.3458717,82000,-4.436079978942871
1553373420.0476415,83000,-4.320525169372559
1553373526.4609487,84000,-3.940992593765259
1553373630.0937665,85000,-3.987947463989258
1553373735.7533755,86000,-4.390847682952881
1553373839.9796338,87000,-3.9704976081848145
1553373947.409128,88000,-4.699685096740723
1553374057.784388,89000,-5.0810651779174805
1553374161.4030242,90000,-3.974065065383911
1553374266.463111,91000,-3.8670976161956787
1553374365.124995,92000,-4.218019962310791
1553374472.425539,93000,-3.893404960632324
1553374576.4872844,94000,-3.5542376041412354
1553374684.6205335,95000,-3.8149924278259277
1553374787.2007527,96000,-3.9207301139831543
1553374894.400224,97000,-3.5840225219726562
1553375000.8034415,98000,-3.9176599979400635
1553375107.9948518,99000,-3.720287561416626
1553375215.7994292,100000,-3.298880100250244
1553375315.6871073,101000,-4.199220180511475
1553375420.4805183,102000,-3.655324935913086
1553375528.2788253,103000,-2.9082350730895996
1553375632.75733,104000,-3.0327999591827393
1553375742.9726644,105000,-3.812045097351074
1553375850.335957,106000,-3.12823748588562
1553375959.4207556,107000,-3.3658199310302734
