Wall time,Step,Value
1553678903.5755613,1000,-5.188809871673584
1553679008.2821693,2000,-6.1647725105285645
1553679150.0852714,3000,-6.122704982757568
1553679283.1892304,4000,-6.236034870147705
1553679417.5806787,5000,-6.68120002746582
1553679548.9644828,6000,-6.466390132904053
1553679695.1184037,7000,-5.84737491607666
1553679825.1346273,8000,-5.805445194244385
1553679954.677112,9000,-6.127110004425049
1553680085.6776972,10000,-5.897554874420166
1553680222.588442,11000,-5.877985000610352
1553680352.0810974,12000,-6.191547393798828
1553680484.0670106,13000,-5.481597423553467
1553680617.7953,14000,-5.864457607269287
1553680755.3787503,15000,-6.201650142669678
1553680893.6757505,16000,-6.083422660827637
1553681023.7218883,17000,-5.375339984893799
1553681162.0917614,18000,-6.341712474822998
1553681293.5660799,19000,-5.652387619018555
1553681423.8468022,20000,-6.195157527923584
1553681556.0683446,21000,-6.124962329864502
1553681683.3698244,22000,-6.5800299644470215
1553681815.7638226,23000,-5.944437503814697
1553681944.5063224,24000,-6.047242641448975
1553682076.2414222,25000,-5.866415023803711
1553682208.1736166,26000,-6.0406975746154785
1553682336.6660395,27000,-5.640395164489746
1553682467.301187,28000,-5.890435218811035
1553682600.3623376,29000,-6.266742706298828
1553682729.987225,30000,-5.779540061950684
1553682863.4577565,31000,-5.998595237731934
1553682993.074389,32000,-6.225917339324951
1553683125.9511342,33000,-5.72980260848999
1553683255.19405,34000,-5.588065147399902
1553683394.7378137,35000,-6.09974479675293
1553683529.0383565,36000,-6.157209873199463
1553683662.7571871,37000,-6.722740173339844
1553683795.8746564,38000,-5.416922569274902
1553683924.2092893,39000,-5.212975025177002
1553684053.0907595,40000,-6.124292373657227
1553684180.8713465,41000,-5.268347263336182
1553684309.0388308,42000,-6.001460075378418
1553684441.2062395,43000,-6.003297328948975
1553684570.517065,44000,-6.4295501708984375
1553684705.4950702,45000,-5.894344806671143
1553684838.3545728,46000,-6.076597690582275
1553684966.8225155,47000,-5.074250221252441
1553685106.7931752,48000,-5.986969947814941
1553685245.7858317,49000,-5.7739176750183105
1553685386.3321288,50000,-5.470307350158691
1553685519.7939844,51000,-5.097377300262451
1553685659.5510528,52000,-5.818277359008789
1553685799.621701,53000,-4.806735038757324
1553685936.691994,54000,-6.3030924797058105
1553686073.1953015,55000,-5.462377548217773
1553686221.817203,56000,-5.585277557373047
1553686360.7826452,57000,-4.630945205688477
1553686495.4562616,58000,-5.309420108795166
1553686629.302797,59000,-5.561399936676025
1553686765.2301872,60000,-5.187767505645752
1553686906.3407333,61000,-5.016192436218262
1553687045.734329,62000,-4.935257434844971
1553687183.1248713,63000,-5.159007549285889
1553687321.5958395,64000,-5.5468525886535645
1553687459.3533041,65000,-5.635894775390625
1553687595.2400022,66000,-5.594375133514404
1553687736.420737,67000,-5.044397354125977
1553687879.4133322,68000,-5.278782367706299
1553688016.9317205,69000,-5.7342448234558105
1553688160.0954516,70000,-5.913362503051758
1553688291.2262008,71000,-5.261202335357666
1553688424.6195152,72000,-4.791302680969238
1553688562.4033487,73000,-5.370110034942627
1553688710.780977,74000,-5.389407634735107
1553688849.357298,75000,-5.285567283630371
1553688989.9363723,76000,-5.195390224456787
1553689129.4076505,77000,-5.707240104675293
1553689282.0634303,78000,-4.943295001983643
1553689433.294057,79000,-5.278947353363037
1553689571.9070382,80000,-5.209219932556152
1553689712.3977299,81000,-5.0725626945495605
1553689854.573177,82000,-5.050957679748535
1553690001.1477816,83000,-5.438089847564697
