Wall time,Step,Value
1554289707.5623274,1000,-8.73960018157959
1554289729.4650824,2000,-8.342000007629395
1554289748.2315009,3000,-8.53320026397705
1554289772.7993655,4000,-8.572699546813965
1554289796.2829561,5000,-8.224900245666504
1554289818.4846327,6000,-8.684700012207031
1554289840.5707312,7000,-8.214500427246094
1554289860.3967576,8000,-8.292799949645996
1554289880.0765917,9000,-8.138400077819824
1554289899.9328976,10000,-8.315400123596191
1554289919.6986778,11000,-8.365400314331055
1554289939.617187,12000,-8.267900466918945
1554289959.1693811,13000,-8.175999641418457
1554289979.3998048,14000,-8.262700080871582
1554289998.988646,15000,-8.476499557495117
1554290018.9364371,16000,-8.16189956665039
1554290038.9390872,17000,-8.04259967803955
1554290059.6647983,18000,-8.366900444030762
1554290078.8437524,19000,-8.160900115966797
1554290099.3938768,20000,-7.828499794006348
1554290118.924312,21000,-8.222999572753906
1554290139.1806815,22000,-8.263500213623047
1554290158.1055198,23000,-7.780200004577637
1554290178.3143966,24000,-8.063699722290039
1554290197.749289,25000,-8.416199684143066
1554290218.2017703,26000,-7.842899799346924
1554290237.632041,27000,-7.858799934387207
1554290257.3358202,28000,-8.034299850463867
1554290277.1179292,29000,-7.771200180053711
1554290296.5322518,30000,-7.942299842834473
1554290316.7291157,31000,-8.171699523925781
1554290337.1024656,32000,-7.970099925994873
1554290357.0046697,33000,-7.964700222015381
1554290376.4669044,34000,-7.880899906158447
1554290396.4382188,35000,-7.715000152587891
1554290416.4139643,36000,-7.929500102996826
1554290436.723886,37000,-7.89109992980957
1554290461.7752879,38000,-7.863999843597412
1554290487.6929965,39000,-7.854899883270264
1554290517.8101804,40000,-7.640200138092041
1554290546.7228796,41000,-7.700799942016602
1554290575.3870518,42000,-7.745200157165527
1554290603.5938625,43000,-7.730400085449219
1554290631.078582,44000,-7.786600112915039
1554290661.4424942,45000,-7.656899929046631
1554290689.6411545,46000,-7.888899803161621
1554290718.912646,47000,-7.8730998039245605
1554290747.6293607,48000,-7.83620023727417
1554290777.9576452,49000,-7.516499996185303
1554290806.939098,50000,-7.665299892425537
1554290836.1740606,51000,-7.19890022277832
1554290865.7072132,52000,-7.5904998779296875
1554290894.5635717,53000,-7.650000095367432
1554290923.9890687,54000,-7.646699905395508
1554290953.7197216,55000,-7.894800186157227
1554290983.4098015,56000,-7.473299980163574
1554291009.1610081,57000,-7.598299980163574
1554291029.6414633,58000,-7.209099769592285
1554291050.1884472,59000,-7.442599773406982
1554291070.772166,60000,-7.616000175476074
1554291090.6153455,61000,-7.730800151824951
1554291111.5713804,62000,-7.440499782562256
1554291132.057631,63000,-7.270299911499023
1554291152.785242,64000,-6.9781999588012695
1554291173.1963503,65000,-7.2743000984191895
1554291194.0391457,66000,-6.909999847412109
1554291214.7841346,67000,-7.352700233459473
1554291235.3708403,68000,-7.327300071716309
1554291256.0455124,69000,-6.951099872589111
1554291277.1712954,70000,-7.235799789428711
1554291297.5758777,71000,-7.345399856567383
1554291318.905994,72000,-7.221099853515625
1554291339.3530748,73000,-7.188600063323975
1554291360.218747,74000,-7.251699924468994
1554291380.4212646,75000,-6.89169979095459
1554291401.0703394,76000,-7.234099864959717
1554291421.995509,77000,-7.208099842071533
1554291442.978289,78000,-6.9593000411987305
1554291464.3516052,79000,-6.945499897003174
1554291484.4196475,80000,-7.069900035858154
1554291505.2073064,81000,-7.041999816894531
1554291527.0148537,82000,-6.886199951171875
1554291547.315014,83000,-7.143899917602539
1554291568.9260437,84000,-6.827899932861328
1554291590.2750764,85000,-6.876999855041504
1554291612.1280327,86000,-6.781700134277344
1554291634.0287993,87000,-7.008399963378906
1554291656.3067548,88000,-7.167200088500977
1554291678.4801238,89000,-6.696899890899658
1554291700.1013956,90000,-6.760900020599365
1554291722.6237042,91000,-6.936200141906738
1554291745.1832323,92000,-6.283899784088135
1554291767.816371,93000,-6.939499855041504
1554291789.8749306,94000,-6.882900238037109
1554291812.282682,95000,-6.578100204467773
1554291835.100392,96000,-7.121699810028076
1554291857.5772312,97000,-6.477700233459473
1554291880.252224,98000,-6.877299785614014
1554291902.9452615,99000,-6.3983001708984375
1554291925.7599318,100000,-6.622399806976318
1554291948.4421186,101000,-6.4375
1554291971.1092372,102000,-6.532400131225586
1554291993.9760392,103000,-6.230199813842773
1554292016.9797812,104000,-6.3541998863220215
1554292039.717596,105000,-6.551599979400635
1554292062.217651,106000,-6.598999977111816
1554292085.0367177,107000,-6.4054999351501465
1554292108.3281534,108000,-6.467599868774414
1554292131.2976434,109000,-6.091300010681152
1554292153.9875011,110000,-6.589000225067139
1554292177.605744,111000,-6.216899871826172
1554292201.6030326,112000,-6.736800193786621
1554292225.3159273,113000,-5.7957000732421875
1554292248.5704648,114000,-6.335899829864502
1554292271.5758865,115000,-6.361499786376953
1554292295.551135,116000,-6.378799915313721
1554292319.4945889,117000,-6.450399875640869
1554292343.402229,118000,-6.406599998474121
1554292367.2164385,119000,-6.401100158691406
1554292389.9106617,120000,-6.3454999923706055
1554292414.2689722,121000,-5.917200088500977
1554292437.029381,122000,-5.928699970245361
1554292460.6982641,123000,-6.042699813842773
1554292485.0676568,124000,-5.8856000900268555
1554292508.343976,125000,-5.829699993133545
1554292531.4826381,126000,-5.966700077056885
1554292554.7878456,127000,-6.179599761962891
1554292579.1985881,128000,-5.932000160217285
1554292604.1699166,129000,-5.940999984741211
1554292628.6569188,130000,-5.859399795532227
1554292652.794572,131000,-5.758999824523926
1554292676.816816,132000,-5.981400012969971
1554292700.8549633,133000,-5.877699851989746
1554292724.9400327,134000,-6.035399913787842
1554292748.9502785,135000,-5.900300025939941
1554292773.7452903,136000,-5.8445000648498535
1554292798.3240159,137000,-5.947299957275391
1554292823.0823524,138000,-5.445899963378906
1554292847.0355313,139000,-5.6392998695373535
1554292872.2935138,140000,-5.291500091552734
1554292896.6401756,141000,-6.1666998863220215
1554292920.6591332,142000,-5.896399974822998
1554292945.696374,143000,-5.249499797821045
1554292970.3948045,144000,-5.707799911499023
1554292995.8648705,145000,-5.395500183105469
1554293020.8902092,146000,-5.308199882507324
1554293045.2448933,147000,-5.4710001945495605
1554293070.110882,148000,-5.883500099182129
1554293095.3563497,149000,-5.327000141143799
1554293120.3259332,150000,-5.3831000328063965
1554293146.2932594,151000,-5.214099884033203
1554293171.5955045,152000,-5.3541998863220215
1554293196.9318666,153000,-5.629199981689453
1554293222.51678,154000,-5.041500091552734
1554293246.9300296,155000,-4.995100021362305
1554293272.2946138,156000,-5.150199890136719
1554293298.255849,157000,-5.428100109100342
1554293323.8710382,158000,-5.298600196838379
1554293349.2614713,159000,-5.367400169372559
1554293373.8535194,160000,-5.684800148010254
1554293399.4746027,161000,-4.666299819946289
1554293425.2635221,162000,-5.175300121307373
1554293451.5333765,163000,-5.024700164794922
1554293477.9057972,164000,-5.190299987792969
1554293503.0048785,165000,-4.610499858856201
1554293528.8353376,166000,-5.101799964904785
1554293555.251467,167000,-5.059100151062012
1554293580.9121618,168000,-5.1504998207092285
1554293607.5929453,169000,-4.7281999588012695
1554293633.0153666,170000,-4.645299911499023
1554293659.7032835,171000,-4.776500225067139
1554293685.8304734,172000,-4.338799953460693
1554293712.110057,173000,-4.619999885559082
1554293739.8101726,174000,-4.139200210571289
1554293766.6228058,175000,-4.454800128936768
1554293793.11501,176000,-4.209499835968018
1554293819.7429862,177000,-4.4878997802734375
1554293845.7313704,178000,-4.406000137329102
1554293873.4536715,179000,-4.464700222015381
1554293899.4395928,180000,-5.0817999839782715
1554293926.6483152,181000,-4.2652997970581055
1554293953.9418416,182000,-4.321800231933594
1554293980.5281715,183000,-4.4131999015808105
1554294006.2427874,184000,-4.250800132751465
1554294033.8645418,185000,-4.443900108337402
1554294060.7756596,186000,-3.943000078201294
1554294088.189753,187000,-4.682000160217285
1554294116.0738263,188000,-4.638999938964844
1554294142.7496104,189000,-3.955699920654297
1554294170.693384,190000,-4.298399925231934
1554294197.6673126,191000,-4.234600067138672
1554294225.6841855,192000,-4.10260009765625
1554294252.847593,193000,-3.781100034713745
1554294279.8736255,194000,-4.246300220489502
1554294306.5644283,195000,-4.5843000411987305
1554294335.1100867,196000,-3.6298000812530518
1554294362.281572,197000,-4.234499931335449
1554294388.9364562,198000,-4.020500183105469
1554294417.316393,199000,-3.5713999271392822
1554294445.7428315,200000,-3.8877999782562256
1554294473.8653092,201000,-3.146199941635132
1554294501.6156447,202000,-3.578399896621704
1554294529.8518453,203000,-3.3671000003814697
1554294557.8087265,204000,-3.562000036239624
1554294586.156594,205000,-3.863600015640259
1554294613.6588266,206000,-3.327500104904175
1554294641.7410028,207000,-3.25
1554294670.0514042,208000,-3.817500114440918
1554294698.146114,209000,-3.68969988822937
