Wall time,Step,Value
1564525261.3058462,1000,-28.324600219726562
1564526275.9009118,2000,-26.43589973449707
1564527333.0596118,3000,-25.117300033569336
1564528364.0162401,4000,-24.583099365234375
1564529384.4864707,5000,-24.786800384521484
1564530340.7456205,6000,-23.77589988708496
1564531402.677021,7000,-24.16900062561035
1564532441.2079828,8000,-23.698699951171875
1564533538.568558,9000,-24.171100616455078
1564534571.210433,10000,-23.981700897216797
1564535637.1768017,11000,-23.045499801635742
1564536553.4242914,12000,-23.5757999420166
1564537509.9961991,13000,-23.744400024414062
1564538514.137323,14000,-23.836200714111328
1564539569.670168,15000,-23.534299850463867
1564540636.7231998,16000,-22.824199676513672
1564541592.745708,17000,-23.888099670410156
1564542657.5325658,18000,-20.91189956665039
1564543740.0776253,19000,-22.039100646972656
1564544790.0823748,20000,-23.162599563598633
1564545849.7559536,21000,-21.941099166870117
1564546901.814367,22000,-22.370500564575195
1564547907.7085073,23000,-21.258899688720703
1564549030.130642,24000,-20.88170051574707
1564550133.3320377,25000,-21.573999404907227
1564551213.9412894,26000,-21.649900436401367
1564552303.929835,27000,-20.261899948120117
1564553326.9158733,28000,-21.650800704956055
1564554430.520054,29000,-20.745800018310547
1564555478.7467327,30000,-20.96109962463379
1564556501.4738598,31000,-21.591999053955078
1564557560.484846,32000,-21.594100952148438
1564558613.2346191,33000,-21.614999771118164
1564559613.5835688,34000,-21.765499114990234
1564561240.1854234,35000,-19.975299835205078
1564562804.0357578,36000,-20.19230079650879
1564564088.4392333,37000,-20.39859962463379
1564565412.1769273,38000,-21.318700790405273
1564566946.496335,39000,-20.735700607299805
1564567921.6970599,40000,-21.04330062866211
1564568940.803995,41000,-20.0856990814209
1564569942.1032362,42000,-20.689899444580078
1564570937.761229,43000,-20.864999771118164
1564571899.9965358,44000,-19.52829933166504
1564572881.881039,45000,-19.854299545288086
1564573817.0522583,46000,-20.30270004272461
1564574753.3601377,47000,-20.7406005859375
1564575779.155789,48000,-19.029300689697266
1564576928.834227,49000,-20.15850067138672
1564577963.80894,50000,-19.52790069580078
1564578912.1386316,51000,-19.365800857543945
1564579911.1639855,52000,-18.513999938964844
1564580864.0746694,53000,-19.944299697875977
1564581840.2670796,54000,-19.475799560546875
1564582840.9571288,55000,-18.667600631713867
1564583847.8364794,56000,-20.725099563598633
1564584810.9194396,57000,-19.484399795532227
1564585764.489997,58000,-20.03420066833496
1564586778.2868435,59000,-20.6742000579834
1564587690.8243694,60000,-19.997499465942383
1564588573.3658962,61000,-19.611400604248047
1564589515.1229625,62000,-20.013500213623047
1564590514.0566442,63000,-18.672500610351562
1564591496.3664587,64000,-18.30590057373047
1564592470.24588,65000,-20.37529945373535
1564593450.4016025,66000,-19.537099838256836
1564594484.3515623,67000,-18.457199096679688
1564595487.5593228,68000,-18.881500244140625
1564596446.5890908,69000,-19.62150001525879
1564597385.6288543,70000,-18.222900390625
1564598345.0884595,71000,-18.74370002746582
1564599352.6444309,72000,-20.230600357055664
1564600319.7174551,73000,-20.96809959411621
1564601320.6918468,74000,-19.616500854492188
1564602297.8352387,75000,-19.07159996032715
1564603272.8948395,76000,-18.825300216674805
1564604492.2413297,77000,-19.22319984436035
1564605828.3208752,78000,-18.659799575805664
1564607185.5598054,79000,-18.966400146484375
1564608494.170991,80000,-20.368600845336914
1564609833.705152,81000,-19.488100051879883
1564610971.6578226,82000,-19.385499954223633
1564612152.7488415,83000,-19.060300827026367
1564613809.7060328,84000,-18.234500885009766
1564615015.0199194,85000,-19.91710090637207
1564615987.9986193,86000,-18.35700035095215
1564616944.2430332,87000,-18.72130012512207
1564617928.5929875,88000,-19.475200653076172
1564619030.173802,89000,-20.11359977722168
1564619963.6637971,90000,-19.62929916381836
1564620897.4878247,91000,-20.056499481201172
1564621862.5564506,92000,-19.234800338745117
1564622837.0204144,93000,-19.903900146484375
1564623836.957615,94000,-19.909799575805664
1564624806.744853,95000,-20.42690086364746
1564625828.4969957,96000,-19.693300247192383
1564626804.0645008,97000,-17.645599365234375
1564627756.4953141,98000,-19.652000427246094
1564628769.434029,99000,-20.092599868774414
1564629754.9252572,99999,-19.488000869750977
