Wall time,Step,Value
1564955669.1067934,1000,-28.295299530029297
1564957834.8922668,2000,-28.958900451660156
1564959083.16944,3000,-28.700000762939453
1564960304.6321936,4000,-27.814899444580078
1564961681.7791393,5000,-28.7091007232666
1564962987.791207,6000,-25.954200744628906
1564964305.361061,7000,-25.899099349975586
1564965576.100901,8000,-30.390399932861328
1564966925.132942,9000,-28.056299209594727
1564968262.0646906,10000,-21.190399169921875
1564969551.866007,11000,-20.16939926147461
1564970912.7834296,12000,-24.569799423217773
1564972184.3802695,13000,-19.306100845336914
1564973422.1945431,14000,-20.287500381469727
1564974720.2505114,15000,-20.14579963684082
1564975938.2908328,16000,-22.632200241088867
1564977230.6997635,17000,-24.304800033569336
1564978460.4152324,18000,-21.93589973449707
1564979666.5711384,19000,-25.188600540161133
1564980851.2475653,20000,-27.160200119018555
1564982131.8142924,21000,-23.25040054321289
1564983363.974102,22000,-25.158100128173828
1564984502.809839,23000,-26.430599212646484
1564985728.60453,24000,-25.586000442504883
1564986907.5498903,25000,-28.95789909362793
1564988114.6941445,26000,-28.9153995513916
1564989360.4711568,27000,-33.30799865722656
1564990580.2883565,28000,-30.971099853515625
1564991690.8383462,29000,-31.940000534057617
1564992801.6715462,30000,-33.367698669433594
1564993853.871271,31000,-33.689998626708984
1564994762.7688982,32000,-32.57780075073242
1564995581.3898513,33000,-34.143001556396484
1564996414.7359576,34000,-34.26620101928711
1564997339.2409232,35000,-33.44820022583008
1564998285.7098613,36000,-33.97159957885742
1564999288.4700267,37000,-33.836700439453125
1565000544.9036229,38000,-31.21579933166504
1565001694.3126235,39000,-31.424400329589844
1565002797.109924,40000,-33.52750015258789
1565003860.4925125,41000,-33.5260009765625
1565005136.0173163,42000,-30.28019905090332
1565006316.3218417,43000,-33.15760040283203
1565007396.7849128,44000,-33.474998474121094
1565008395.2308354,45000,-35.40610122680664
1565009302.1395795,46000,-34.79199981689453
1565010154.3994188,47000,-34.142799377441406
1565010998.2675345,48000,-34.37139892578125
1565011867.7410283,49000,-34.181400299072266
1565012814.928054,50000,-35.241798400878906
1565013681.9981573,51000,-34.83789825439453
1565014468.013672,52000,-35.89189910888672
1565015310.291548,53000,-36.02289962768555
1565016192.8502345,54000,-33.59560012817383
1565017023.7559211,55000,-35.382999420166016
1565017820.0240993,56000,-36.26729965209961
1565018602.5294387,57000,-36.474098205566406
1565019396.2110274,58000,-36.37300109863281
1565020295.6511333,59000,-35.0713005065918
1565021274.0685399,60000,-33.45000076293945
1565022143.1746016,61000,-36.3390007019043
1565023029.9073918,62000,-33.63650131225586
1565023891.1699378,63000,-36.34590148925781
1565024807.4503677,64000,-35.79750061035156
1565025718.6185472,65000,-35.826698303222656
1565026647.405544,66000,-35.58209991455078
1565027556.953092,67000,-34.762298583984375
1565028463.4940724,68000,-36.23619842529297
1565029336.9533489,69000,-34.770198822021484
1565030239.903658,70000,-34.116798400878906
1565031163.8403533,71000,-34.24100112915039
1565032090.0925171,72000,-34.15039825439453
1565032975.2302854,73000,-34.43220138549805
1565033869.2578552,74000,-34.04159927368164
1565034711.498188,75000,-33.11759948730469
1565035626.670581,76000,-34.355098724365234
1565036867.1064658,77000,-34.30820083618164
1565038170.9391484,78000,-35.07870101928711
1565039749.4649086,79000,-34.501399993896484
1565041014.5525453,80000,-32.4463005065918
1565042031.471096,81000,-35.606201171875
1565043118.63102,82000,-35.96799850463867
1565044182.5616343,83000,-35.07500076293945
1565045230.644332,84000,-34.37929916381836
1565046279.6076307,85000,-33.75740051269531
1565047308.2579632,86000,-35.38570022583008
1565048311.7490942,87000,-32.30419921875
1565049321.048151,88000,-33.214500427246094
1565050269.8289745,89000,-35.26490020751953
1565051294.767631,90000,-33.96989822387695
1565052256.7513275,91000,-35.28889846801758
1565053179.9532897,92000,-35.94369888305664
1565054106.8368158,93000,-35.86909866333008
1565055123.3232415,94000,-33.4015007019043
1565056009.359986,95000,-34.536399841308594
1565056953.0076764,96000,-34.117000579833984
1565057940.1848135,97000,-33.23249816894531
1565058800.1453629,98000,-34.97570037841797
1565059810.5603359,99000,-33.98310089111328
1565060889.3448145,99999,-33.27539825439453
