Wall time,Step,Value
1556614650.5616739,1000,1.3279999494552612
1556614787.1091266,2000,2.0369999408721924
1556614928.1682727,3000,3.078000068664551
1556615087.0516374,4000,3.628000020980835
1556615268.987512,5000,4.145999908447266
1556615463.2398245,6000,4.695000171661377
1556615707.938107,7000,5.2179999351501465
1556615918.8961992,8000,5.558000087738037
1556616131.335739,9000,5.758999824523926
1556616340.651871,10000,5.890999794006348
1556616550.890126,11000,6.071000099182129
1556616755.8577673,12000,6.447999954223633
1556616931.9295535,13000,6.758999824523926
1556617120.8189018,14000,6.836999893188477
1556617340.0442958,15000,7.376999855041504
1556617561.7154124,16000,7.317999839782715
1556617771.6213977,17000,7.283999919891357
1556617978.7707481,18000,7.091000080108643
1556618196.9565337,19000,7.4629998207092285
1556618399.9021153,20000,7.423999786376953
1556618593.8407047,21000,7.561999797821045
1556618779.4822078,22000,7.745999813079834
1556618971.5647275,23000,7.6020002365112305
1556619165.131527,24000,7.843999862670898
1556619358.7955832,25000,7.699999809265137
1556619548.6995533,26000,7.7270002365112305
1556619737.8317587,27000,7.763999938964844
1556619888.7676356,28000,7.709000110626221
1556620049.5734935,29000,7.933000087738037
1556620208.3653646,30000,7.999000072479248
1556620373.4520867,31000,7.901000022888184
1556620531.473738,32000,7.908999919891357
1556620684.3815868,33000,8.008999824523926
1556620887.0300453,34000,7.886000156402588
1556621093.329113,35000,7.864999771118164
1556621290.7394238,36000,8.112000465393066
1556621486.6256075,37000,8.093000411987305
1556621700.908098,38000,8.140999794006348
1556621875.2655072,39000,8.093000411987305
1556622042.5086014,40000,8.027999877929688
1556622217.1682134,41000,7.90500020980835
1556622387.565515,42000,8.074000358581543
1556622564.8524466,43000,8.109999656677246
1556622753.0639927,44000,8.300000190734863
1556622926.1965177,45000,8.017999649047852
1556623110.172934,46000,8.079000473022461
1556623291.973167,47000,7.952000141143799
1556623470.2221632,48000,8.14799976348877
1556623646.7140749,49000,8.126999855041504
1556623814.5874877,50000,8.13599967956543
1556623990.8371596,51000,8.251999855041504
1556624164.8091,52000,8.175999641418457
1556624333.8846188,53000,8.239999771118164
1556624499.2100368,54000,8.079999923706055
1556624696.6330593,55000,8.272000312805176
1556624894.376876,56000,8.385000228881836
1556625075.8957405,57000,8.27299976348877
1556625248.9652865,58000,8.381999969482422
1556625420.4876747,59000,8.395000457763672
1556625590.6238484,60000,8.20300006866455
1556625762.2274733,61000,8.21500015258789
1556625934.0761259,62000,8.220000267028809
1556626105.5410838,63000,8.260000228881836
1556626281.790391,64000,8.302000045776367
1556626451.1183443,65000,8.187000274658203
1556626619.6339543,66000,8.168999671936035
1556626787.1642938,67000,8.336999893188477
1556626976.8528662,68000,8.357999801635742
1556627145.7653966,69000,8.16100025177002
1556627314.7547739,70000,8.317999839782715
1556627470.7379797,71000,8.324000358581543
1556627619.2176402,72000,8.218999862670898
1556627772.7410898,73000,8.315999984741211
1556627895.4225516,74000,8.26200008392334
1556628017.862332,75000,8.333000183105469
1556628139.593685,76000,8.331999778747559
1556628258.6556635,77000,8.392999649047852
1556628380.7960393,78000,8.383000373840332
1556628503.4878743,79000,8.496999740600586
1556628624.862622,80000,8.319999694824219
1556628747.3185902,81000,8.4350004196167
1556628866.5771487,82000,8.282999992370605
1556628986.1897643,83000,8.394000053405762
1556629097.184364,84000,8.357000350952148
1556629189.5273328,85000,8.331000328063965
1556629279.8097358,86000,8.180999755859375
1556629374.8553412,87000,8.423999786376953
1556629467.893569,88000,8.451000213623047
1556629561.1320634,89000,8.437000274658203
1556629653.665378,90000,8.36299991607666
1556629745.0649848,91000,8.265000343322754
1556629836.6352358,92000,8.309000015258789
1556629931.6274338,93000,8.57699966430664
1556630024.438182,94000,8.420000076293945
1556630114.8175495,95000,8.28600025177002
1556630206.069942,96000,8.357000350952148
1556630295.8060946,97000,8.307000160217285
1556630386.1817148,98000,8.380000114440918
1556630476.9553084,99000,8.364999771118164
1556630569.94236,99999,8.484000205993652
