Wall time,Step,Value
1556613847.9702916,1000,50.04999923706055
1556613999.6194348,2000,50.0
1556614151.2429152,3000,50.0
1556614325.8988273,4000,50.0
1556614516.7878778,5000,50.0
1556614749.1293466,6000,50.0
1556614962.0738769,7000,50.0
1556615170.7459297,8000,50.0
1556615380.1816647,9000,50.0
1556615600.4457111,10000,50.0
1556615840.4755855,11000,50.0
1556616050.114642,12000,50.0
1556616261.0464845,13000,50.0
1556616480.8275776,14000,50.0
1556616676.9284961,15000,50.0
1556616864.2869275,16000,50.0
1556617048.806855,17000,50.0
1556617260.6474457,18000,50.0
1556617498.2227979,19000,50.0
1556617718.2992747,20000,50.0
1556617944.9480433,21000,50.0
1556618175.3879492,22000,50.0
1556618402.2210221,23000,50.0
1556618613.4619899,24000,50.0
1556618821.9183598,25000,50.0
1556619043.8032274,26000,50.0
1556619263.8116152,27000,50.0
1556619482.0947359,28000,50.0
1556619695.6274734,29000,50.0
1556619879.3061233,30000,50.0
1556620066.4743125,31000,50.0
1556620254.111342,32000,50.0
1556620449.3998466,33000,50.0
1556620628.5844936,34000,50.0
1556620854.3160672,35000,50.0
1556621114.777228,36000,50.0
1556621347.8383796,37000,50.0
1556621594.668826,38000,50.0
1556621822.411095,39000,50.0
1556622031.2616847,40000,50.0
1556622244.3581514,41000,50.0
1556622455.8270252,42000,50.0
1556622679.2539313,43000,50.0
1556622895.3494601,44000,50.0
1556623127.3332443,45000,50.0
1556623365.5302658,46000,50.0
1556623588.0503864,47000,50.0
1556623807.9478865,48000,50.0
1556624029.245575,49000,50.0
1556624245.9344094,50000,50.0
1556624460.695799,51000,50.0
1556624702.5227313,52000,50.0
1556624945.2782767,53000,50.0
1556625170.4067333,54000,50.0
1556625384.783878,55000,50.0
1556625598.9743717,56000,50.0
1556625819.5918925,57000,50.0
1556626038.5453024,58000,50.0
1556626260.6932638,59000,50.0
1556626483.5471914,60000,50.0
1556626699.1972754,61000,50.0
1556626928.6341405,62000,50.0
1556627149.1715803,63000,50.0
1556627365.3550892,64000,50.0
1556627551.6489928,65000,50.0
1556627745.6051328,66000,50.0
1556627904.743297,67000,50.0
1556628060.67973,68000,50.0
1556628214.939967,69000,50.0
1556628371.2297351,70000,50.0
1556628526.5361242,71000,50.0
1556628683.003335,72000,50.0
1556628838.5887566,73000,50.0
1556628992.5160334,74000,50.0
1556629129.5288541,75000,50.0
1556629249.7501163,76000,50.0
1556629370.1223571,77000,50.0
1556629491.064763,78000,50.0
1556629611.3947337,79000,50.0
1556629731.9409552,80000,50.0
1556629851.384109,81000,50.0
1556629970.0463455,82000,50.0
1556630088.484373,83000,50.0
1556630206.9414628,84000,50.0
1556630325.6129909,85000,50.0
1556630444.4797769,86000,50.0
1556630563.2562635,87000,50.0
1556630663.9976737,88000,50.0
1556630763.6724927,89000,50.0
1556630862.980804,90000,50.0
1556630962.384307,91000,50.0
1556631061.9125707,92000,50.0
1556631161.2348073,93000,50.0
1556631269.522941,94000,50.0
1556631370.7893434,95000,50.0
1556631469.2481527,96000,50.0
1556631567.0328996,97000,50.0
1556631665.854495,98000,50.0
1556631780.73497,99000,50.0
1556631880.665805,99999,49.95000076293945
