Wall time,Step,Value
1555063447.8095276,1000,-11.845809936523438
1555063548.1256793,2000,-11.567174911499023
1555063647.6893244,3000,-11.603580474853516
1555063747.412445,4000,-11.571535110473633
1555063852.8668902,5000,-11.67537784576416
1555063976.2344494,6000,-11.750505447387695
1555064099.68665,7000,-11.455997467041016
1555064225.023143,8000,-11.412762641906738
1555064349.0909443,9000,-11.049480438232422
1555064476.9557009,10000,-10.636119842529297
1555064608.0266395,11000,-10.718110084533691
1555064740.812642,12000,-10.830302238464355
1555064892.9335244,13000,-11.26684284210205
1555065022.9343863,14000,-10.992657661437988
1555065149.6737545,15000,-10.999162673950195
1555065277.0972052,16000,-11.351102828979492
1555065402.4169784,17000,-11.669804573059082
1555065552.4868765,18000,-11.445784568786621
1555065700.9339223,19000,-10.758535385131836
1555065856.9601865,20000,-11.085627555847168
1555066013.889327,21000,-11.152727127075195
1555066168.4954064,22000,-11.344144821166992
1555066320.3202689,23000,-11.038350105285645
1555066471.2479103,24000,-11.085630416870117
1555066620.1555169,25000,-10.897564888000488
1555066766.8986473,26000,-11.146957397460938
1555066916.7420166,27000,-11.557004928588867
1555067061.0577064,28000,-10.992887496948242
1555067217.5096438,29000,-11.677385330200195
1555067369.7314568,30000,-11.654899597167969
1555067523.165821,31000,-11.605082511901855
1555067672.963134,32000,-11.599757194519043
1555067824.837777,33000,-11.780407905578613
1555067978.6782837,34000,-11.494805335998535
1555068126.236133,35000,-11.845502853393555
1555068274.3725944,36000,-11.71973705291748
1555068428.1583812,37000,-12.096237182617188
1555068581.0570548,38000,-11.76623249053955
1555068732.2324078,39000,-11.870915412902832
1555068885.785215,40000,-11.785980224609375
1555069039.235612,41000,-11.556124687194824
1555069194.1526835,42000,-12.066622734069824
1555069344.4824119,43000,-11.866732597351074
1555069493.2414331,44000,-12.289734840393066
1555069640.9320292,45000,-12.30795955657959
1555069787.1406262,46000,-11.858755111694336
1555069932.8207707,47000,-11.702702522277832
1555070078.4978764,48000,-12.189947128295898
1555070228.002335,49000,-11.994950294494629
1555070374.217519,50000,-11.870525360107422
1555070517.568014,51000,-11.623117446899414
1555070660.6251495,52000,-11.365485191345215
1555070811.1317947,53000,-11.959239959716797
1555070957.1914318,54000,-11.609874725341797
1555071106.8705509,55000,-11.921717643737793
1555071251.800323,56000,-11.680502891540527
1555071399.4265723,57000,-11.8736572265625
1555071542.9736536,58000,-11.689900398254395
1555071688.852411,59000,-12.066527366638184
1555071835.5636215,60000,-12.01950454711914
1555071977.9848907,61000,-12.199979782104492
1555072121.4443195,62000,-11.91355037689209
1555072266.4308374,63000,-12.250285148620605
1555072414.0008476,64000,-12.36075496673584
1555072566.6246097,65000,-12.533690452575684
1555072712.119777,66000,-11.885669708251953
1555072856.7683504,67000,-12.29847526550293
1555073005.1475632,68000,-12.316849708557129
1555073152.480452,69000,-12.466025352478027
1555073297.930064,70000,-12.462804794311523
1555073452.4682064,71000,-13.231947898864746
1555073603.7373836,72000,-12.626022338867188
1555073753.0558963,73000,-12.976292610168457
1555073899.096788,74000,-12.465129852294922
1555074049.8846319,75000,-13.222999572753906
1555074201.542422,76000,-13.213809967041016
1555074350.335687,77000,-12.916842460632324
1555074505.01878,78000,-13.122967720031738
1555074668.6348927,79000,-13.196852684020996
1555074843.208171,80000,-12.66862964630127
1555075023.1217089,81000,-13.282890319824219
1555075201.8668745,82000,-13.098662376403809
1555075381.9293716,83000,-13.498519897460938
1555075555.2314727,84000,-12.774334907531738
1555075727.6362205,85000,-12.958285331726074
1555075907.4934618,86000,-13.179932594299316
1555076082.7304728,87000,-13.188244819641113
1555076259.5239608,88000,-13.245824813842773
1555076440.5926967,89000,-13.230779647827148
1555076609.0246766,90000,-12.554317474365234
1555076783.3091547,91000,-13.030142784118652
1555076959.703391,92000,-13.069314956665039
1555077132.566671,93000,-12.92471981048584
1555077311.1481838,94000,-13.343552589416504
1555077489.8143098,95000,-13.032529830932617
1555077666.771958,96000,-13.218899726867676
1555077843.0502589,97000,-12.928640365600586
1555078033.0619497,98000,-13.406450271606445
1555078212.255759,99000,-12.962462425231934
1555078389.023914,100000,-12.925945281982422
1555078560.4279969,101000,-12.964460372924805
1555078734.1581833,102000,-13.048212051391602
1555078907.0898626,103000,-13.151777267456055
1555079087.4599066,104000,-13.422985076904297
1555079263.0252364,105000,-12.973647117614746
1555079439.8602717,106000,-12.857402801513672
1555079621.6148765,107000,-13.316234588623047
1555079806.1622787,108000,-13.234107971191406
1555079986.696483,109000,-13.51912784576416
1555080161.4972534,110000,-12.983505249023438
1555080336.452558,111000,-13.11351490020752
1555080513.4993787,112000,-13.110337257385254
1555080686.7583652,113000,-13.085060119628906
1555080870.4679158,114000,-13.189557075500488
1555081055.2387788,115000,-13.130202293395996
1555081238.9960368,116000,-12.929452896118164
1555081416.6630175,117000,-13.599254608154297
1555081593.4929855,118000,-13.341259956359863
