Wall time,Step,Value
1555409453.6402826,1000,-9.569350242614746
1555409547.0392141,2000,-10.313654899597168
1555409654.8898032,3000,-10.330940246582031
1555409772.0215063,4000,-10.451169967651367
1555409883.361036,5000,-10.023195266723633
1555409993.306191,6000,-9.991140365600586
1555410108.5375934,7000,-9.999237060546875
1555410216.8009174,8000,-10.439627647399902
1555410684.2892559,1000,-10.27538776397705
1555410846.1383464,2000,-10.164190292358398
1555411011.057781,3000,-9.74598217010498
1555411173.8057353,4000,-10.441829681396484
1555411336.3201888,5000,-9.749022483825684
1555411499.4513283,6000,-10.236237525939941
1555411657.4994664,7000,-10.137274742126465
1555411812.6857939,8000,-9.998967170715332
1555411972.2575076,9000,-9.958575248718262
1555412130.1861553,10000,-9.947059631347656
1555412290.261977,11000,-10.032475471496582
1555412451.310283,12000,-10.465174674987793
1555412619.389038,13000,-9.79347038269043
1555412764.145087,14000,-10.366134643554688
1555412898.6701725,15000,-9.983015060424805
1555413033.0221822,16000,-10.172847747802734
1555413164.7228067,17000,-9.916595458984375
1555413298.3055546,18000,-9.590729713439941
1555413432.3590336,19000,-10.350079536437988
1555413566.5229414,20000,-10.021459579467773
1555413722.6430838,21000,-10.244722366333008
1555413889.9871876,22000,-10.605382919311523
1555414049.3397882,23000,-10.220892906188965
1555414210.652975,24000,-10.359959602355957
1555414372.5877247,25000,-10.080610275268555
1555414537.4541068,26000,-10.232194900512695
1555414693.3750455,27000,-10.05840015411377
1555414855.3073642,28000,-9.880385398864746
1555415019.8317988,29000,-9.79497241973877
1555415184.9341528,30000,-10.153087615966797
1555415351.1705656,31000,-10.092514991760254
1555415515.2154782,32000,-9.992207527160645
1555415674.988728,33000,-9.875692367553711
1555415999.9579632,35000,-10.164329528808594
1555416156.8863199,36000,-9.58823013305664
1555416313.39201,37000,-9.922362327575684
1555416493.7472067,38000,-9.859049797058105
1555416696.274054,39000,-9.76648235321045
1555416893.7021937,40000,-9.624645233154297
1555417083.8204527,41000,-10.119112968444824
1555417321.6728387,42000,-10.39387035369873
1555417584.0863597,43000,-9.824287414550781
1555417864.4586108,44000,-9.686574935913086
1555418138.828451,45000,-9.782649993896484
1555418470.6444063,46000,-9.869614601135254
1555418756.229937,47000,-10.065342903137207
1555419045.2356193,48000,-9.668007850646973
1555419331.3257825,49000,-9.614562034606934
1555419610.789635,50000,-9.081537246704102
1555419895.6024237,51000,-10.129594802856445
1555420172.6830635,52000,-9.44591236114502
1555420463.7313044,53000,-9.423547744750977
1555420750.344119,54000,-9.432687759399414
1555421029.2871556,55000,-9.508870124816895
1555421312.6591878,56000,-9.600787162780762
1555421612.555155,57000,-9.471975326538086
1555421934.3209665,58000,-9.663265228271484
1555422317.9004586,59000,-9.515547752380371
1555422710.937985,60000,-9.679594993591309
1555423134.62778,61000,-9.060517311096191
1555423564.6784086,62000,-9.536344528198242
1555423942.024985,63000,-9.721022605895996
1555424255.101585,64000,-9.744322776794434
1555424562.9229815,65000,-9.277785301208496
1555424910.0097327,66000,-9.279439926147461
1555425250.0003412,67000,-9.231472969055176
1555425583.2614675,68000,-9.06612777709961
