Wall time,Step,Value
1555410418.113131,1000,-10.404644966125488
1555410523.119544,2000,-9.985090255737305
1555410632.7927537,3000,-10.46737289428711
1555410742.0859432,4000,-10.328667640686035
1555410854.4335966,5000,-9.893562316894531
1555410980.1634235,6000,-10.398797035217285
1555411095.578831,7000,-9.606659889221191
1555411209.0441658,8000,-10.449995040893555
1555411322.7728426,9000,-10.126609802246094
1555411439.584951,10000,-10.377010345458984
1555411551.4041963,11000,-10.195549964904785
1555411661.513928,12000,-10.262374877929688
1555411768.630842,13000,-9.995012283325195
1555411881.3510013,14000,-9.636442184448242
1555411990.6831307,15000,-9.945494651794434
1555412101.0861325,16000,-9.789315223693848
1555412213.200437,17000,-10.033832550048828
1555412319.254929,18000,-9.687712669372559
1555412425.6063418,19000,-10.047327041625977
1555412545.4367285,20000,-10.214767456054688
1555412668.3380513,21000,-10.050470352172852
1555412763.8264782,22000,-9.769767761230469
1555412859.7204685,23000,-9.758742332458496
1555412954.204988,24000,-10.254552841186523
1555413047.686911,25000,-9.600034713745117
1555413142.4571664,26000,-9.794437408447266
1555413234.0377991,27000,-9.73096752166748
1555413330.4787676,28000,-9.948957443237305
1555413426.4952216,29000,-9.655157089233398
1555413521.485138,30000,-9.861185073852539
1555413613.3198388,31000,-9.44094467163086
1555413730.6795104,32000,-9.6689453125
1555413842.355922,33000,-9.662227630615234
1555413956.0311959,34000,-9.702025413513184
1555414068.0075912,35000,-9.74706745147705
1555414181.3617914,36000,-9.792692184448242
1555414292.0411,37000,-9.565315246582031
1555414404.5557888,38000,-9.533207893371582
1555414515.603419,39000,-9.55498218536377
1555414629.5706594,40000,-9.546967506408691
1555414742.5209377,41000,-9.274067878723145
1555414857.3740647,42000,-9.873542785644531
1555414969.3976815,43000,-9.302812576293945
1555415087.6004634,44000,-9.386799812316895
1555415199.0830536,45000,-9.226160049438477
1555415316.5629444,46000,-9.488965034484863
1555415427.3195143,47000,-9.290135383605957
1555415541.9639134,48000,-9.620759963989258
1555415658.547909,49000,-9.628080368041992
1555415774.3075514,50000,-9.27966022491455
1555415883.854867,51000,-9.078795433044434
1555415995.5231493,52000,-9.245627403259277
1555416108.3672643,53000,-9.112287521362305
1555416225.1940064,54000,-9.057385444641113
1555416336.83817,55000,-8.920454978942871
1555416454.4028404,56000,-9.418827056884766
1555416597.1939986,57000,-9.088452339172363
1555416734.0587115,58000,-9.032235145568848
1555416874.4546523,59000,-9.015482902526855
1555417003.4074118,60000,-9.217442512512207
1555417141.2405114,61000,-9.073787689208984
1555417313.474961,62000,-9.055609703063965
1555417490.3431,63000,-9.746825218200684
1555417680.8174403,64000,-9.039212226867676
1555417875.1776633,65000,-9.539802551269531
1555418072.0899842,66000,-9.225272178649902
1555418270.7798958,67000,-9.104185104370117
1555418506.8563435,68000,-9.507340431213379
1555418706.728091,69000,-9.491220474243164
1555418914.0227194,70000,-8.987890243530273
1555419105.5989883,71000,-8.625809669494629
1555419304.5356505,72000,-9.014864921569824
1555419495.3780217,73000,-8.759695053100586
1555419691.4237034,74000,-8.747092247009277
1555419887.5487778,75000,-9.264704704284668
1555420083.0487046,76000,-9.122770309448242
1555420275.4732714,77000,-8.793017387390137
1555420472.1007614,78000,-9.006317138671875
1555420662.5901487,79000,-8.622777938842773
1555420862.360947,80000,-8.91142463684082
1555421060.5074952,81000,-8.759017944335938
1555421248.9458344,82000,-8.901775360107422
1555421440.6045299,83000,-8.623262405395508
1555421650.839618,84000,-8.608710289001465
1555421864.899426,85000,-8.77499771118164
1555422126.241554,86000,-9.162674903869629
1555422397.6499476,87000,-8.564112663269043
1555422652.4267225,88000,-8.490824699401855
1555422944.300943,89000,-8.82601261138916
1555423238.7585464,90000,-8.58256721496582
1555423526.2127,91000,-8.755387306213379
1555423788.4198635,92000,-8.208029747009277
1555424027.4638302,93000,-8.2147798538208
1555424245.5114138,94000,-8.27003002166748
1555424459.3606505,95000,-8.321962356567383
1555424677.4921167,96000,-7.437582492828369
1555424918.4177794,97000,-8.779267311096191
1555425162.949177,98000,-8.302530288696289
1555425392.786275,99000,-8.201202392578125
1555425634.618297,100000,-8.284205436706543
1555425858.0888104,101000,-8.3253173828125
1555426128.2408307,102000,-8.71710205078125
1555426392.5982525,103000,-8.459797859191895
1555426601.4557269,104000,-8.38552474975586
1555426803.1778288,105000,-7.920987606048584
1555427007.623534,106000,-7.606457710266113
1555427178.1766143,107000,-7.666860103607178
1555427371.0358975,108000,-7.481442451477051
1555427578.4028292,109000,-7.788452625274658
1555427796.3208768,110000,-8.28759765625
1555428033.582017,111000,-7.845375061035156
1555428270.7468824,112000,-7.717380046844482
1555428523.405706,113000,-7.784854888916016
1555428773.4773793,114000,-8.206965446472168
1555428951.2611463,115000,-7.682577610015869
1555429126.0548885,116000,-7.930742263793945
1555429304.7225718,117000,-7.907380104064941
1555429481.4558048,118000,-7.638557434082031
1555429657.2337174,119000,-7.6698198318481445
1555429832.592073,120000,-8.21483039855957
1555430016.352355,121000,-7.617809772491455
1555430195.4312193,122000,-7.892634868621826
1555430371.6985621,123000,-8.003870010375977
1555430550.620178,124000,-7.467437267303467
1555430727.1769972,125000,-8.551344871520996
1555430899.3581126,126000,-7.982850074768066
1555431070.425173,127000,-7.568140029907227
1555431242.0915565,128000,-7.28849983215332
1555431412.6256,129000,-7.907622337341309
1555431586.3417346,130000,-8.089007377624512
1555431754.4130385,131000,-7.7193474769592285
1555431925.8963246,132000,-7.846892356872559
1555432099.053673,133000,-7.23726749420166
1555432268.9505374,134000,-7.102654933929443
1555432442.5415897,135000,-7.4612650871276855
1555432613.4590502,136000,-7.669432640075684
1555432786.8498592,137000,-7.237094879150391
1555432960.2339423,138000,-7.196390151977539
1555433132.7071269,139000,-7.311132431030273
1555433303.268469,140000,-7.476127624511719
1555433479.1296904,141000,-6.815485000610352
1555433656.269928,142000,-7.181690216064453
1555433829.8479352,143000,-7.134009838104248
1555434003.9235344,144000,-7.297204971313477
1555434173.1668916,145000,-6.8968000411987305
1555434346.9176602,146000,-7.01554012298584
1555434520.8862755,147000,-7.007760047912598
1555434698.2363787,148000,-7.111067295074463
1555434872.350486,149000,-7.009524822235107
1555435049.0985067,150000,-7.1338725090026855
1555435220.7011216,151000,-6.988259792327881
1555435396.0267584,152000,-7.368619918823242
1555435566.1850626,153000,-7.064882278442383
1555435738.8171976,154000,-7.016435146331787
1555435908.7787092,155000,-6.878927707672119
1555436082.8829677,156000,-7.035332679748535
