Wall time,Step,Value
1555065676.6904693,1000,-1.3884974718093872
1555065876.1491468,2000,-8.615172386169434
1555066057.5360656,3000,-9.903779983520508
1555066228.7344434,4000,-9.632282257080078
1555066402.687392,5000,-8.23312759399414
1555066582.5634363,6000,-7.638392448425293
1555066755.7226098,7000,-7.202772617340088
1555066930.617064,8000,-7.548337459564209
1555067106.8207896,9000,-7.313065052032471
1555067287.9458396,10000,-8.326242446899414
1555067465.376515,11000,-7.059957504272461
1555067645.8281314,12000,-7.758732318878174
1555067831.1199284,13000,-8.310239791870117
1555068011.870478,14000,-8.527865409851074
1555068191.258603,15000,-6.759652614593506
1555068373.4592307,16000,-7.224902629852295
1555068557.4392583,17000,-6.92887020111084
1555068741.9189243,18000,-7.588027477264404
1555068934.3293853,19000,-8.298669815063477
1555069126.3485062,20000,-8.100979804992676
1555069316.170382,21000,-7.442180156707764
1555069497.6808403,22000,-7.966054916381836
1555069673.2228634,23000,-7.757232666015625
1555069854.5540524,24000,-8.674707412719727
1555070032.4480193,25000,-8.606962203979492
1555070216.7001371,26000,-8.926362037658691
1555070396.0867422,27000,-8.682442665100098
1555070580.2091541,28000,-8.660367965698242
1555070761.7085557,29000,-9.123970031738281
1555070937.7390053,30000,-8.309727668762207
1555071116.1242988,31000,-8.246444702148438
1555071296.146262,32000,-8.509235382080078
1555071475.108281,33000,-8.564632415771484
1555071655.4215777,34000,-8.585769653320312
1555071836.7705002,35000,-9.056084632873535
1555072018.3823817,36000,-8.948452949523926
1555072194.0753913,37000,-8.807035446166992
1555072368.651203,38000,-9.718785285949707
1555072545.1898382,39000,-9.623590469360352
1555072720.1357388,40000,-9.791097640991211
1555072896.1398427,41000,-9.295425415039062
1555073070.1061928,42000,-9.498702049255371
1555073251.383675,43000,-10.521809577941895
1555073430.0279708,44000,-9.815177917480469
1555073604.285596,45000,-9.924324989318848
1555073780.7239132,46000,-9.938545227050781
1555073958.8180118,47000,-9.621185302734375
1555074140.6568792,48000,-9.6786470413208
1555074318.1568248,49000,-9.85256290435791
1555074498.5370016,50000,-9.96642017364502
1555074698.7612512,51000,-10.221277236938477
1555074916.1746569,52000,-10.398835182189941
1555075129.1608155,53000,-10.000602722167969
1555075347.506993,54000,-9.60233211517334
1555075567.9209223,55000,-10.233152389526367
1555075788.6438696,56000,-10.697237968444824
1555076013.1236885,57000,-9.752812385559082
1555076233.85677,58000,-10.410294532775879
1555076458.8797922,59000,-9.560874938964844
1555076683.4002004,60000,-9.953807830810547
1555076906.1634922,61000,-10.296745300292969
1555077116.671547,62000,-8.862492561340332
1555077340.1107306,63000,-9.414210319519043
1555077564.062153,64000,-9.810037612915039
1555077789.500135,65000,-9.791275024414062
1555078020.9164321,66000,-9.711219787597656
1555078234.9493277,67000,-9.405659675598145
1555078447.3710601,68000,-9.888529777526855
1555078660.5431647,69000,-10.786160469055176
1555078869.831168,70000,-9.906240463256836
1555079089.2433703,71000,-9.722432136535645
1555079305.4027777,72000,-9.687742233276367
1555079511.8215325,73000,-9.821834564208984
1555079726.3492877,74000,-9.660377502441406
1555079937.7905498,75000,-9.552597045898438
1555080151.540254,76000,-10.166667938232422
1555080363.8120131,77000,-9.192647933959961
1555080587.0014107,78000,-10.447420120239258
1555080810.394755,79000,-10.067495346069336
1555081033.2913172,80000,-9.884532928466797
1555081258.717503,81000,-10.698760032653809
1555081472.3734741,82000,-9.962052345275879
1555081684.0093672,83000,-9.764632225036621
1555081889.2572155,84000,-9.569564819335938
1555082108.10246,85000,-10.526684761047363
1555082335.4740815,86000,-10.250664710998535
1555082563.9746146,87000,-10.470620155334473
1555082789.3711834,88000,-10.52042007446289
1555083017.3153994,89000,-10.368552207946777
1555083232.0242126,90000,-10.48781967163086
1555083450.639936,91000,-10.033217430114746
1555083667.9753158,92000,-10.03418254852295
1555083880.5642474,93000,-10.039377212524414
1555084100.6553822,94000,-10.052379608154297
1555084306.6145904,95000,-10.350507736206055
1555084518.5225637,96000,-10.058259963989258
1555084735.7647157,97000,-9.217985153198242
1555084949.7039135,98000,-10.5101900100708
1555085155.961041,99000,-9.493882179260254
1555085375.003658,100000,-9.703880310058594
1555085598.771147,101000,-9.774102210998535
1555085818.2067523,102000,-10.382962226867676
1555086031.2192025,103000,-9.248374938964844
1555086241.3179517,104000,-9.626827239990234
1555086445.532733,105000,-9.9744873046875
1555086652.146521,106000,-8.991942405700684
1555086868.170751,107000,-9.63172721862793
1555087077.701519,108000,-9.711589813232422
1555087288.0744689,109000,-9.85159969329834
1555087497.7127202,110000,-9.6587553024292
1555087716.0083468,111000,-9.838882446289062
1555087937.8505564,112000,-9.708817481994629
1555088135.6130266,113000,-8.600629806518555
1555088345.4589128,114000,-10.25829029083252
1555088554.4142556,115000,-8.99036979675293
1555088765.4079628,116000,-9.798752784729004
1555088973.3250368,117000,-9.114782333374023
1555089188.5307527,118000,-10.167340278625488
1555089399.869642,119000,-9.521147727966309
1555089609.9073122,120000,-9.75151538848877
1555089813.7051575,121000,-9.273637771606445
1555090021.4063115,122000,-9.317602157592773
1555090232.6520782,123000,-9.827520370483398
1555090452.8122315,124000,-9.97249984741211
1555090658.3445034,125000,-9.606772422790527
1555090867.557173,126000,-9.639209747314453
1555091085.8569968,127000,-9.14894962310791
1555091296.0022194,128000,-9.612762451171875
1555091511.9953926,129000,-9.290080070495605
1555091722.7750173,130000,-9.289512634277344
1555091929.9299126,131000,-8.730819702148438
1555092133.0231116,132000,-8.774435043334961
1555092344.0965884,133000,-9.85981273651123
1555092555.587232,134000,-9.053549766540527
1555092766.9207208,135000,-9.66514778137207
1555092988.2415864,136000,-8.990337371826172
1555093200.821601,137000,-8.260897636413574
1555093409.46668,138000,-8.32850456237793
1555093623.8826795,139000,-9.249099731445312
1555093832.034157,140000,-8.60095500946045
1555094045.8727286,141000,-9.056882858276367
1555094263.1279335,142000,-9.129347801208496
1555094475.3917484,143000,-9.433389663696289
1555094675.8850443,144000,-8.311972618103027
1555094874.082636,145000,-8.8322172164917
1555095081.7766674,146000,-8.778997421264648
1555095291.87703,147000,-9.13401985168457
1555095513.4035168,148000,-9.211602210998535
1555095722.7471902,149000,-9.205812454223633
1555095942.6742477,150000,-8.807644844055176
1555096151.7471523,151000,-8.989720344543457
1555096358.6928384,152000,-8.80663776397705
1555096570.0880659,153000,-9.163254737854004
1555096785.4996336,154000,-9.90085506439209
1555097002.071467,155000,-9.786894798278809
1555097218.575914,156000,-9.701700210571289
1555097422.9634337,157000,-9.666495323181152
1555097629.3284812,158000,-9.531617164611816
1555097844.5819085,159000,-9.689809799194336
1555098045.1000292,160000,-9.173480033874512
1555098256.1573086,161000,-9.077262878417969
1555098474.3408444,162000,-10.0172700881958
1555098693.1227503,163000,-9.72329044342041
1555098905.361069,164000,-10.392129898071289
1555099111.061878,165000,-10.2861328125
1555105263.656943,166000,-9.27193546295166
1555105474.4963574,167000,-10.066862106323242
1555105680.4322588,168000,-9.243570327758789
1555105891.3623667,169000,-9.551259994506836
1555106107.1280944,170000,-9.596864700317383
1555106326.6440072,171000,-9.212204933166504
1555106544.4052963,172000,-10.230137825012207
1555106757.9814413,173000,-9.42615795135498
1555106978.9412773,174000,-9.251774787902832
1555107196.7890778,175000,-9.233975410461426
1555107403.490045,176000,-9.934320449829102
1555107607.5695221,177000,-10.198044776916504
1555107818.5690432,178000,-9.899165153503418
1555108034.578478,179000,-9.80257511138916
1555108244.2201345,180000,-8.361044883728027
1555108463.7959893,181000,-10.125822067260742
1555108670.458253,182000,-9.342007637023926
1555108886.782545,183000,-9.799297332763672
1555109098.2518249,184000,-9.37939453125
1555109314.8124852,185000,-9.479792594909668
1555109528.8997622,186000,-9.296074867248535
1555109740.144643,187000,-9.18470287322998
1555109952.5673728,188000,-9.312034606933594
1555110156.4509463,189000,-9.814542770385742
1555110369.214763,190000,-9.949417114257812
1555110574.311093,191000,-9.420214653015137
1555110782.6417692,192000,-9.896562576293945
1555110987.241427,193000,-9.169772148132324
1555111189.2919044,194000,-9.569524765014648
1555111394.7682173,195000,-10.945042610168457
1555111591.976648,196000,-9.520212173461914
1555111802.4974654,197000,-10.153189659118652
1555112011.8164988,198000,-9.434602737426758
1555112216.1817832,199000,-9.383700370788574
1555112425.7870505,200000,-10.104504585266113
1555112622.9894977,201000,-9.32610034942627
1555112825.916629,202000,-10.121105194091797
1555113028.3590581,203000,-9.550029754638672
1555113229.49199,204000,-9.76536750793457
1555113431.2941318,205000,-9.650167465209961
1555113640.9412868,206000,-9.958542823791504
1555113838.8468523,207000,-9.131155014038086
1555114040.123401,208000,-9.866222381591797
1555114249.6399047,209000,-10.644280433654785
1555114454.961631,210000,-9.458252906799316
1555114659.7986543,211000,-9.34768295288086
1555114861.1380336,212000,-9.113652229309082
1555115066.139616,213000,-9.694560050964355
1555115267.1418982,214000,-9.885692596435547
1555115469.8835268,215000,-10.739507675170898
1555115667.3831785,216000,-9.988417625427246
1555115867.0949123,217000,-10.123042106628418
1555116071.0133924,218000,-10.430005073547363
1555116264.1646767,219000,-9.98035717010498
1555116471.752342,220000,-10.048609733581543
1555116676.236309,221000,-9.564922332763672
1555116879.7059896,222000,-10.404467582702637
1555117077.7442007,223000,-9.673379898071289
1555117279.6051848,224000,-9.93952751159668
1555117481.6586547,225000,-10.507922172546387
1555117684.970757,226000,-10.428000450134277
1555117889.9713423,227000,-10.105680465698242
1555118095.5992494,228000,-10.326199531555176
1555118294.808328,229000,-10.027105331420898
1555118496.5157235,230000,-9.598340034484863
1555118696.6892219,231000,-10.211750030517578
1555118891.9807804,232000,-9.775837898254395
1555119083.62011,233000,-9.647359848022461
1555119295.2589364,234000,-10.375615119934082
1555119497.954688,235000,-10.278864860534668
1555119694.5148532,236000,-9.325164794921875
1555119898.5131202,237000,-9.572074890136719
1555120101.9409127,238000,-10.033844947814941
1555120302.6410022,239000,-9.916357040405273
1555120506.3849497,240000,-9.84253978729248
1555120710.5786934,241000,-10.145774841308594
1555120911.8313057,242000,-9.969815254211426
1555121113.0839174,243000,-9.551457405090332
1555121312.1962545,244000,-8.9771146774292
1555121519.1426353,245000,-9.867594718933105
1555121720.4750326,246000,-9.046102523803711
1555121920.2555828,247000,-9.028989791870117
1555122119.351963,248000,-9.580224990844727
1555122327.6806455,249000,-10.209247589111328
1555122536.8321261,250000,-9.61970043182373
1555122737.7137308,251000,-9.135967254638672
1555122939.2695315,252000,-8.838950157165527
1555123140.6019297,253000,-8.876852035522461
1555123341.4625907,254000,-9.982157707214355
1555123546.8501403,255000,-9.269804954528809
1555123748.7570019,256000,-9.081080436706543
1555123953.5810597,257000,-9.357637405395508
1555124157.7029955,258000,-9.817315101623535
1555124369.9402215,259000,-9.414887428283691
1555124584.0195196,260000,-9.80905532836914
1555124784.762495,261000,-9.369222640991211
1555124986.4659002,262000,-9.58191967010498
1555125191.2410889,263000,-9.520392417907715
1555125395.74999,264000,-9.74077033996582
1555125596.7502768,265000,-9.407364845275879
1555125807.3109877,266000,-9.01415729522705
1555126008.7620685,267000,-9.00625228881836
1555126212.7004952,268000,-9.867277145385742
1555126417.1056733,269000,-9.33598518371582
1555126625.7365475,270000,-9.123922348022461
1555126834.029326,271000,-10.012869834899902
1555127041.5511653,272000,-10.17416763305664
1555127241.2988038,273000,-9.571080207824707
1555127449.465918,274000,-9.347297668457031
1555127656.414293,275000,-9.843085289001465
1555127865.1399138,276000,-9.789822578430176
1555128073.3070269,277000,-9.64394760131836
1555128273.2481477,278000,-9.75841999053955
1555128486.4278524,279000,-9.081865310668945
1555128698.3768494,280000,-9.6431303024292
1555128907.9561863,281000,-9.11964225769043
1555129115.7552843,282000,-9.40827751159668
1555129319.9410496,283000,-8.84366226196289
1555129522.3346093,284000,-9.1453275680542
1555129722.2268603,285000,-8.976144790649414
1555129931.6186988,286000,-9.725187301635742
1555130136.3260682,287000,-9.262330055236816
1555130346.5147743,288000,-9.154475212097168
1555130557.8903053,289000,-9.748067855834961
1555130756.3503883,290000,-9.331914901733398
1555130954.9720378,291000,-9.562592506408691
1555131157.0963175,292000,-9.569427490234375
1555131357.7166216,293000,-9.63734245300293
1555131562.9196656,294000,-9.638972282409668
1555131769.4531496,295000,-9.19962215423584
1555131974.0847218,296000,-9.082767486572266
1555132185.1770115,297000,-9.761075019836426
1555132390.8807156,298000,-8.828222274780273
1555132601.0684245,299000,-9.986149787902832
1555132804.344623,300000,-9.827795028686523
1555133007.8781326,301000,-9.027074813842773
1555133213.2347658,302000,-9.287307739257812
1555133421.7120504,303000,-9.811980247497559
1555133629.4902053,304000,-9.416210174560547
1555133834.8727682,305000,-9.295702934265137
1555134038.3673828,306000,-9.873684883117676
1555134245.624931,307000,-9.637797355651855
1555134457.4821727,308000,-10.288517951965332
1555134662.8408005,309000,-9.575572967529297
