Wall time,Step,Value
1552986759.976955,1000,-8.43239974975586
1552986831.9165442,2000,-8.242500305175781
1552986899.78502,3000,-8.418600082397461
1552986972.630186,4000,-8.458700180053711
1552987042.567131,5000,-8.231499671936035
1552987115.7862968,6000,-8.228300094604492
1552987184.9386518,7000,-8.238699913024902
1552987254.0248713,8000,-8.270700454711914
1552987324.4026368,9000,-7.910200119018555
1552987395.1194963,10000,-8.190699577331543
1552987464.333374,11000,-8.269599914550781
1552987540.7021163,12000,-8.119000434875488
1552987621.9119093,13000,-8.27239990234375
1552987704.0203004,14000,-8.113300323486328
1552987792.0666409,15000,-7.946100234985352
1552987890.2580185,16000,-7.758399963378906
1552987987.8739324,17000,-8.227499961853027
1552988088.5726004,18000,-7.8643999099731445
1552988189.2483299,19000,-8.124699592590332
1552988291.0021763,20000,-8.30150032043457
1552988392.0967853,21000,-8.096699714660645
1552988493.6222425,22000,-8.217300415039062
1552988590.5699432,23000,-7.735799789428711
1552988691.85199,24000,-8.153200149536133
1552988792.928906,25000,-8.009900093078613
1552988896.5425622,26000,-8.273200035095215
1552989003.4434733,27000,-8.06820011138916
1552989105.2366645,28000,-8.18529987335205
1552989206.9556036,29000,-8.159700393676758
1552989306.47343,30000,-7.786300182342529
1552989408.7438948,31000,-8.175700187683105
1552989508.6885796,32000,-7.9141998291015625
1552989611.5644248,33000,-8.173500061035156
1552989714.266734,34000,-7.936500072479248
1552989812.351766,35000,-7.843500137329102
1552989917.64374,36000,-7.921299934387207
1552990020.897404,37000,-7.797399997711182
1552990120.6655612,38000,-7.995500087738037
1552990222.1601007,39000,-7.778200149536133
1552990324.466469,40000,-7.763599872589111
1552990424.1388955,41000,-7.585299968719482
1552990529.9309275,42000,-7.6570000648498535
1552990633.1329002,43000,-7.6082000732421875
1552990731.8678212,44000,-7.596399784088135
1552990834.2689357,45000,-7.559000015258789
1552990935.9649367,46000,-7.5329999923706055
1552991039.598755,47000,-7.588399887084961
1552991141.9430213,48000,-7.853300094604492
1552991247.363062,49000,-7.832600116729736
1552991350.789435,50000,-7.913700103759766
1552991455.406623,51000,-7.22130012512207
1552991558.018175,52000,-7.499899864196777
1552991661.865422,53000,-7.490499973297119
1552991769.4556582,54000,-7.281000137329102
1552991874.6239529,55000,-7.417099952697754
1552991977.3902538,56000,-7.435400009155273
1552992080.6024673,57000,-7.295000076293945
1552992183.2433598,58000,-7.5725998878479
1552992285.63151,59000,-7.212200164794922
1552992388.1921978,60000,-7.439300060272217
1552992492.2690468,61000,-7.087200164794922
1552992593.8164446,62000,-7.743199825286865
1552992692.9891942,63000,-7.21619987487793
1552992796.3218176,64000,-7.174900054931641
1552992897.944016,65000,-7.364500045776367
1552993002.7985692,66000,-7.39300012588501
1552993104.472629,67000,-7.374800205230713
1552993209.5615542,68000,-7.638199806213379
1552993311.4952118,69000,-7.3171000480651855
1552993416.6058683,70000,-7.058300018310547
1552993520.064156,71000,-7.196199893951416
1552993623.8216426,72000,-7.129499912261963
1552993728.4009318,73000,-7.33050012588501
1552993832.6321523,74000,-7.042699813842773
1552993935.5209625,75000,-6.919400215148926
1552994036.6464894,76000,-7.026599884033203
1552994140.0339658,77000,-7.068399906158447
1552994244.0168502,78000,-6.975200176239014
1552994347.5389676,79000,-6.876200199127197
1552994452.6757648,80000,-7.046899795532227
1552994556.072275,81000,-7.2941999435424805
1552994660.471047,82000,-7.083499908447266
1552994766.7268517,83000,-7.549699783325195
1552994874.1008348,84000,-7.090799808502197
1552994976.330408,85000,-6.942399978637695
1552995080.0300505,86000,-7.187300205230713
1552995184.027586,87000,-6.948200225830078
1552995288.525094,88000,-6.956699848175049
1552995391.697147,89000,-6.545499801635742
1552995497.1510966,90000,-6.8632001876831055
1552995600.016969,91000,-6.708399772644043
1552995705.123847,92000,-6.713799953460693
1552995812.2164152,93000,-6.92609977722168
1552995914.6644027,94000,-6.606400012969971
1552996019.9587789,95000,-6.8628997802734375
1552996129.1517284,96000,-6.817999839782715
1552996238.8844237,97000,-6.6620001792907715
1552996351.7747526,98000,-6.861000061035156
1552996457.724283,99000,-6.884699821472168
1552996573.167795,100000,-6.967100143432617
1552996686.9545739,101000,-6.615600109100342
1552996800.917483,102000,-6.479499816894531
1552996911.7189918,103000,-6.360300064086914
1552997018.500004,104000,-6.279099941253662
1552997126.7950826,105000,-6.46120023727417
1552997235.4278722,106000,-6.642199993133545
1552997340.0560973,107000,-6.853499889373779
1552997455.037473,108000,-6.007500171661377
1552997564.988961,109000,-6.118899822235107
1552997676.8103223,110000,-6.445700168609619
1552997786.3620045,111000,-6.8520002365112305
1552997897.2811964,112000,-6.25540018081665
1552998008.7089424,113000,-6.442399978637695
1552998118.767952,114000,-6.266300201416016
1552998227.6013064,115000,-6.473400115966797
1552998336.56348,116000,-6.295199871063232
1552998446.5154734,117000,-6.447500228881836
1552998556.7764494,118000,-6.339000225067139
1552998665.125125,119000,-6.339000225067139
1552998775.2052925,120000,-6.703100204467773
1552998882.4712625,121000,-5.753200054168701
1552998988.8082018,122000,-6.133500099182129
1552999098.4011617,123000,-6.466899871826172
1552999208.7766361,124000,-6.1280999183654785
1552999320.156204,125000,-6.30620002746582
1552999429.9156463,126000,-5.8678998947143555
1552999539.2394938,127000,-6.654300212860107
1552999649.9106305,128000,-6.409200191497803
1552999757.4863045,129000,-6.148799896240234
1552999868.4456155,130000,-5.928899765014648
1552999977.3310928,131000,-6.190899848937988
1553000088.4366906,132000,-6.126800060272217
1553000195.5461886,133000,-5.989299774169922
1553000304.9910367,134000,-6.5914998054504395
1553000414.3516827,135000,-6.0833001136779785
1553000529.1008365,136000,-6.343599796295166
1553000639.8473434,137000,-6.138299942016602
1553000749.754214,138000,-5.728000164031982
1553000859.7900355,139000,-6.1118998527526855
1553000969.932849,140000,-6.214099884033203
1553001077.6040363,141000,-6.28000020980835
1553001190.420609,142000,-6.338699817657471
1553001306.5387127,143000,-5.864200115203857
1553001419.223425,144000,-5.616300106048584
1553001538.1623192,145000,-5.9334001541137695
1553001652.1420124,146000,-5.65880012512207
1553001762.8257494,147000,-5.894400119781494
1553001870.2214184,148000,-5.878399848937988
1553001980.8376553,149000,-5.7017998695373535
1553002090.899282,150000,-5.893400192260742
1553002204.7254033,151000,-5.769000053405762
1553002317.1599333,152000,-6.257699966430664
1553002428.7005322,153000,-5.431099891662598
1553002539.7405412,154000,-6.313799858093262
1553002645.6353116,155000,-5.31879997253418
1553002757.8691275,156000,-5.424699783325195
1553002866.2771766,157000,-5.660200119018555
1553002973.621071,158000,-5.400199890136719
1553003084.2352192,159000,-5.392199993133545
1553003195.559468,160000,-5.790800094604492
1553003306.618426,161000,-5.787199974060059
1553003416.5553854,162000,-5.522799968719482
1553003530.905542,163000,-5.951499938964844
1553003644.1676068,164000,-5.475599765777588
1553003756.1540847,165000,-5.841599941253662
1553003865.8796093,166000,-5.617800235748291
1553003976.2883072,167000,-5.278500080108643
1553004085.5789945,168000,-5.594299793243408
1553004196.110365,169000,-5.367499828338623
1553004307.6590128,170000,-5.527299880981445
1553004418.5244887,171000,-5.571199893951416
1553004531.464416,172000,-5.392099857330322
1553004642.8524942,173000,-5.340099811553955
1553004752.6937099,174000,-5.267499923706055
1553004863.9360855,175000,-5.173399925231934
1553004978.7582946,176000,-5.510799884796143
1553005091.7641509,177000,-5.431000232696533
1553005204.4340484,178000,-5.6682000160217285
1553005319.2136366,179000,-5.320300102233887
1553005436.0215583,180000,-4.969099998474121
1553005551.383072,181000,-5.459199905395508
1553005664.4907355,182000,-5.245299816131592
1553005778.3327107,183000,-5.260499954223633
1553005898.1286132,184000,-5.51230001449585
1553006015.4154537,185000,-4.767099857330322
1553006133.6756473,186000,-5.384500026702881
1553006250.3570635,187000,-4.943900108337402
1553006368.1266367,188000,-5.018599987030029
1553006486.971828,189000,-5.331200122833252
1553006606.8586724,190000,-5.262800216674805
1553006723.307903,191000,-5.030099868774414
1553006840.8095186,192000,-4.729899883270264
1553006951.6652398,193000,-5.532599925994873
1553007069.1439855,194000,-4.859799861907959
1553007185.6650589,195000,-4.805099964141846
1553007299.2922752,196000,-5.28380012512207
1553007414.7586417,197000,-5.564899921417236
1553007529.9908974,198000,-4.911900043487549
1553007650.4754386,199000,-4.676400184631348
1553007764.7699366,200000,-4.966700077056885
1553007877.6322446,201000,-4.799699783325195
1553007987.8813689,202000,-4.6433000564575195
1553008099.4284961,203000,-4.698200225830078
1553008214.1272385,204000,-5.105400085449219
1553008330.347393,205000,-5.270299911499023
1553008438.61382,206000,-5.400899887084961
1553008553.0058641,207000,-4.814499855041504
1553008667.0757692,208000,-4.960000038146973
